Date,Open,High,Low,Close,Volume
2019-01-18,0.96,0.986,0.96,0.985,1170366
2019-01-21,0.984,0.993,0.982,0.988,404013
2019-01-22,0.986,0.987,0.979,0.981,156267
2019-01-23,0.982,0.982,0.972,0.975,183224
2019-01-24,0.974,0.974,0.96,0.968,234302
2019-01-25,0.968,0.978,0.968,0.972,243119
2019-01-28,0.97,0.983,0.97,0.974,284570
2019-01-29,0.97,0.973,0.96,0.971,261446
2019-01-30,0.968,0.971,0.964,0.964,181126
2019-01-31,0.964,0.971,0.96,0.962,145956
2019-02-01,0.966,0.973,0.963,0.973,186212
2019-02-11,0.973,0.985,0.973,0.985,144188
2019-02-12,0.986,0.993,0.986,0.992,168966
2019-02-13,0.993,1.011,0.991,1.006,489195
2019-02-14,1.006,1.012,1.005,1.009,195032
2019-02-15,1.006,1.012,1.001,1.003,124233
2019-02-18,1.003,1.027,1.003,1.027,291722
2019-02-19,1.027,1.033,1.02,1.028,182662
2019-02-20,1.025,1.032,1.023,1.03,610313
2019-02-21,1.03,1.038,1.02,1.022,476298
2019-02-22,1.022,1.039,1.019,1.039,182735
2019-02-25,1.036,1.08,1.036,1.077,370211
2019-02-26,1.075,1.1,1.072,1.073,294037
2019-02-27,1.072,1.092,1.067,1.074,161458
2019-02-28,1.074,1.088,1.074,1.082,113534
2019-03-01,1.082,1.093,1.078,1.093,114436
2019-03-04,1.095,1.118,1.095,1.098,134277
2019-03-05,1.098,1.114,1.098,1.111,104168
2019-03-06,1.113,1.122,1.109,1.119,119287
2019-03-07,1.123,1.125,1.11,1.119,123198
2019-03-08,1.115,1.115,1.075,1.075,133314
2019-03-11,1.074,1.095,1.073,1.09,89118
2019-03-12,1.09,1.116,1.09,1.11,121671
2019-03-13,1.112,1.112,1.092,1.093,88121
2019-03-14,1.094,1.1,1.077,1.088,103642
2019-03-15,1.09,1.098,1.084,1.089,130734
2019-03-18,1.099,1.116,1.099,1.116,117268
2019-03-19,1.116,1.126,1.116,1.119,117433
2019-03-20,1.121,1.121,1.103,1.114,89855
2019-03-21,1.104,1.125,1.104,1.119,106155
2019-03-22,1.119,1.12,1.107,1.117,96714
2019-03-25,1.119,1.132,1.101,1.108,87725
2019-03-26,1.11,1.12,1.086,1.088,90158
2019-03-27,1.099,1.099,1.079,1.081,83997
2019-03-28,1.078,1.09,1.076,1.078,100636
2019-03-29,1.08,1.106,1.08,1.105,148414
2019-04-01,1.106,1.138,1.106,1.137,138034
2019-04-02,1.128,1.15,1.128,1.139,129069
2019-04-03,1.135,1.157,1.133,1.157,152355
2019-04-04,1.164,1.17,1.157,1.164,149628
2019-04-08,1.17,1.178,1.15,1.161,85634
2019-04-09,1.157,1.164,1.152,1.16,54755
2019-04-10,1.15,1.165,1.148,1.156,267818
2019-04-11,1.158,1.161,1.141,1.142,182540
2019-04-12,1.141,1.144,1.132,1.139,310536
2019-04-15,1.149,1.16,1.138,1.139,228843
2019-04-16,1.129,1.156,1.125,1.155,278217
2019-04-17,1.162,1.162,1.152,1.154,279861
2019-04-18,1.153,1.163,1.152,1.154,242123
2019-04-19,1.155,1.16,1.145,1.159,112310
2019-04-22,1.175,1.175,1.143,1.145,55057
2019-04-23,1.14,1.143,1.123,1.127,115386
2019-04-24,1.122,1.131,1.116,1.128,45218
2019-04-25,1.122,1.123,1.101,1.101,81975
2019-04-26,1.107,1.107,1.084,1.085,102153
2019-04-29,1.085,1.087,1.07,1.07,22183
2019-04-30,1.08,1.084,1.072,1.079,115347
2019-05-06,1.068,1.068,1.005,1.015,70988
2019-05-07,1.028,1.029,1.013,1.029,133990
2019-05-08,1.026,1.026,1.002,1.01,119285
2019-05-09,1.005,1.014,1.002,1.005,105673
2019-05-10,1.015,1.032,0.997,1.029,125975
2019-05-13,1.039,1.039,1.016,1.018,120869
2019-05-14,1.019,1.02,1.01,1.013,105409
2019-05-15,1.017,1.027,1.017,1.023,109521
2019-05-16,1.023,1.031,1.023,1.03,113752
2019-05-17,1.02,1.031,1.005,1.005,101458
2019-05-20,1.006,1.006,0.996,1.004,88608
2019-05-21,1.006,1.021,1.006,1.019,99787
2019-05-22,1.016,1.02,1.011,1.014,103330
2019-05-23,1.004,1.008,1.001,1.001,79636
2019-05-24,1.001,1.004,0.996,0.998,100291
2019-05-27,1.003,1.017,0.997,1.013,91596
2019-05-28,1.017,1.025,1.015,1.015,100812
2019-05-29,1.013,1.024,1.013,1.018,89753
2019-05-30,1.008,1.015,1.006,1.01,100162
2019-05-31,1.016,1.018,1.01,1.011,252742
2019-06-03,1.014,1.021,1.004,1.01,284297
2019-06-04,1.005,1.007,0.996,1.0,474834
2019-06-05,1.006,1.008,0.999,1.001,452798
2019-06-06,1.001,1.001,0.984,0.988,472151
2019-06-10,0.993,0.999,0.99,0.996,476192
2019-06-11,0.995,1.021,0.995,1.021,509307
2019-06-12,1.015,1.019,1.009,1.012,485381
2019-06-13,1.013,1.013,1.003,1.011,581320
2019-06-14,1.019,1.019,1.002,1.005,518444
2019-06-17,1.005,1.01,1.0,1.004,561285
2019-06-18,1.005,1.005,0.998,0.999,483435
2019-06-19,1.012,1.021,1.01,1.015,569779
2019-06-20,1.01,1.031,1.01,1.031,525517
2019-06-21,1.031,1.038,1.031,1.035,496881
2019-06-24,1.035,1.041,1.034,1.039,464983
2019-06-25,1.036,1.036,1.022,1.029,466666
2019-06-26,1.023,1.034,1.023,1.032,476488
2019-06-27,1.033,1.045,1.033,1.038,467019
2019-06-28,1.036,1.038,1.029,1.038,451113
2019-07-01,1.048,1.06,1.047,1.06,460154
2019-07-02,1.07,1.07,1.057,1.061,541406
2019-07-03,1.06,1.06,1.052,1.059,484770
2019-07-04,1.059,1.068,1.056,1.058,485486
2019-07-05,1.052,1.061,1.052,1.06,339224
2019-07-08,1.066,1.066,1.026,1.032,42665
2019-07-09,1.028,1.032,1.023,1.028,18711
2019-07-10,1.028,1.029,1.023,1.027,30220
2019-07-11,1.027,1.036,1.021,1.023,16652
2019-07-12,1.023,1.031,1.022,1.029,24891
2019-07-15,1.019,1.04,1.016,1.035,74419
2019-07-16,1.037,1.037,1.032,1.034,16915
2019-07-17,1.034,1.038,1.033,1.035,32996
2019-07-18,1.027,1.027,1.023,1.023,9532
2019-07-19,1.027,1.036,1.027,1.032,18678
2019-07-22,1.033,1.033,1.021,1.023,23657
2019-07-23,1.024,1.028,1.024,1.028,17919
2019-07-24,1.033,1.04,1.033,1.037,13510
2019-07-25,1.035,1.043,1.035,1.041,25171
2019-07-26,1.041,1.047,1.039,1.047,28587
2019-07-29,1.047,1.05,1.045,1.047,15940
2019-07-30,1.05,1.055,1.049,1.05,28214
2019-07-31,1.044,1.048,1.041,1.046,77894
2019-08-01,1.043,1.046,1.038,1.038,38570
2019-08-02,1.028,1.028,1.017,1.021,29318
2019-08-05,1.022,1.022,1.004,1.005,24465
2019-08-06,0.995,0.995,0.973,0.987,19555
2019-08-07,0.989,0.992,0.985,0.985,33552
2019-08-08,0.98,0.995,0.98,0.992,17317
2019-08-09,0.995,0.995,0.98,0.981,30689
2019-08-12,0.985,0.996,0.98,0.996,28321
2019-08-13,0.995,0.995,0.988,0.99,16993
2019-08-14,1.0,1.002,0.997,0.998,14600
2019-08-15,0.988,1.004,0.977,1.003,38563
2019-08-16,0.999,1.01,0.999,1.009,21141
2019-08-19,1.011,1.03,1.011,1.03,17213
2019-08-20,1.029,1.035,1.028,1.03,4702
2019-08-21,1.031,1.034,1.029,1.031,4731
2019-08-22,1.029,1.033,1.029,1.032,6065
2019-08-23,1.033,1.035,1.028,1.03,6353
2019-08-26,1.03,1.05,1.017,1.018,15602
2019-08-27,1.026,1.04,1.026,1.037,19917
2019-08-28,1.035,1.037,1.031,1.035,8071
2019-08-29,1.032,1.032,1.028,1.029,7223
2019-08-30,1.037,1.037,1.024,1.028,16765
2019-09-02,1.031,1.049,1.031,1.048,14794
2019-09-03,1.047,1.052,1.047,1.05,119838
2019-09-04,1.054,1.063,1.052,1.063,77426
2019-09-05,1.07,1.08,1.067,1.069,85637
2019-09-06,1.068,1.077,1.068,1.074,64911
2019-09-09,1.08,1.087,1.078,1.086,114351
2019-09-10,1.09,1.09,1.077,1.08,158731
2019-09-11,1.087,1.087,1.073,1.075,177824
2019-09-12,1.079,1.082,1.073,1.082,1114027
2019-09-16,1.088,1.088,1.078,1.083,572107
2019-09-17,1.077,1.077,1.057,1.062,312113
2019-09-18,1.072,1.072,1.059,1.062,81247
2019-09-19,1.072,1.072,1.057,1.07,77882
2019-09-20,1.068,1.072,1.064,1.072,54631
2019-09-23,1.058,1.063,1.055,1.062,25342
2019-09-24,1.06,1.07,1.06,1.063,48592
2019-09-25,1.055,1.057,1.047,1.047,13947
2019-09-26,1.049,1.051,1.033,1.033,14948
2019-09-27,1.031,1.033,1.028,1.029,6061
2019-09-30,1.033,1.033,1.024,1.024,12958
2019-10-08,1.02,1.03,1.02,1.024,6606
2019-10-09,1.02,1.03,1.018,1.03,12107
2019-10-10,1.025,1.037,1.025,1.037,8917
2019-10-11,1.035,1.043,1.029,1.039,9922
2019-10-14,1.045,1.053,1.045,1.048,7284
2019-10-15,1.04,1.043,1.037,1.037,1656
2019-10-16,1.037,1.043,1.034,1.034,41477
2019-10-17,1.036,1.039,1.034,1.034,19847
2019-10-18,1.032,1.044,1.021,1.021,3698
2019-10-21,1.031,1.062,1.015,1.016,8820
2019-10-22,1.016,1.025,1.011,1.025,1311760
2019-10-23,1.019,1.023,1.005,1.009,5674788
