symbol,name,type,followers,current,current_year_percent,market_capital,total_shares
SH511090,30年国债ETF,行业,31555,115.646,1.53,22,113,608,392.60,191,218,100.00
SZ159972,5年地债ETF,行业,689,117.884,0.67,3,973,387,494.44,33,705,910.00
SH515800,800ETF,宽基,3877,1.282,2.4,5,673,410,490.40,4,425,437,200.00
SZ159601,A50ETF,宽基,23105,1.03,-3.74,1,780,651,715.19,1,728,788,073.00
SH512930,AI人工智能ETF,概念,19949,2.157,-1.37,3,315,590,057.10,1,537,130,300.00
SH512480,半导体ETF,行业,183082,1.559,6.49,21,665,428,612.40,13,897,003,600.00
SH513500,标普500ETF博时,海外宽基,190927,2.338,-3.87,22,937,273,046.80,9,810,638,600.00
SH516670,畜牧养殖ETF,行业,7874,0.707,0.14,1,243,094,274.10,1,758,266,300.00
SH512980,传媒ETF,行业,40330,1.057,5.91,8,406,241,090.80,7,952,924,400.00
SH560710,船舶ETF,行业,2713,1.107,10.26,1,629,039,060.00,1,471,580,000.00
SZ159992,创新药ETF,概念,76643,0.771,-7.22,13,996,411,118.31,18,153,581,217.00
SZ159949,创业板50ETF,宽基,92100,1.486,-2.37,21,757,692,677.92,14,641,785,113.00
SZ159915,创业板ETF易方达,宽基,133388,3.154,-1,56,101,632,868.14,17,787,454,936.00
SH515400,大数据ETF,概念,29964,0.991,5.54,1,657,577,717.40,1,672,631,400.00
SH510170,大宗商品ETF,概念,11607,1.593,27.85,778,841,276.40,488,914,800.00
SH513400,道琼斯ETF,海外宽基,15671,1.225,-0.81,2,497,850,950.00,2,039,062,000.00
SZ159561,德国ETF嘉实,海外宽基,3662,1.321,-3.44,2,023,110,824.97,1,531,499,489.00
SZ159707,地产ETF,行业,11884,0.608,-1.46,655,149,314.11,1,077,548,214.00
SZ159755,电池ETF,行业,37748,1.067,-0.28,11,611,784,077.98,10,882,646,746.00
SZ159611,电力ETF,行业,26306,1.105,10.39,4,718,751,004.50,4,270,362,900.00
SH561380,电网ETF,行业,8830,2.149,30.4,4,277,398,826.40,1,990,413,600.00
SZ159326,电网设备ETF,行业,24332,1.987,34.08,26,395,835,598.18,13,284,265,525.00
SZ159507,电信ETF,行业,491,2.189,6.62,170,618,614.83,77,943,634.00
SZ159997,电子ETF,行业,15500,1.653,1.35,1,317,947,866.00,797,306,634.00
SH513730,东南亚科技ETF,海外概念,17311,1.206,-13.05,1,060,502,130.00,879,355,000.00
SZ159985,豆粕ETF,货物,29494,2.102,7.85,2,970,386,786.73,1,413,124,066.00
SH511360,短融ETF海富通,债,10908,113.124,0.26,77,176,880,642.40,682,232,600.00
SH513080,法国CAC40ETF,海外宽基,8412,1.826,2.01,1,093,620,616.00,598,916,000.00
SH512200,房地产ETF,行业,45722,1.452,-3.14,7,140,352,150.80,4,917,597,900.00
SH512550,富时A50,海外概念,50833,1.722,-5.23,240,918,132.00,139,906,000.00
SH515210,钢铁ETF,行业,33977,1.606,10.68,4,196,038,116.60,2,612,726,100.00
SZ159638,高端装备ETF嘉实,概念,2562,1.14,7.14,1,830,089,802.48,1,605,341,932.00
SZ159207,高股息ETF,概念,2692,1.176,7.79,597,976,413.72,508,483,345.00
SH560280,工程机械ETF,行业,3346,1.771,10.34,3,026,199,792.00,1,708,752,000.00
SZ159667,工业母机ETF,行业,7931,1.931,21.29,1,537,108,645.49,796,016,906.00
SZ159145,工业软件ETF广发,行业,41,0.894,-10.96,104,224,169.43,116,581,845.00
SH560860,工业有色ETF万家,行业,17340,2.019,27.06,15,591,188,427.00,7,722,233,000.00
SH511030,公司债ETF,债,1716,107.168,0.29,36,012,809,737.60,336,040,700.00
SH515790,光伏ETF,行业,127824,1.11,15.38,11,372,498,340.00,10,245,494,000.00
SH512670,国防ETF,行业,33803,1.012,11.95,3,096,368,431.20,3,059,652,600.00
SH511010,国债ETF,债,68088,140.929,0.59,3,417,006,812.70,24,246,300.00
SZ159392,航空ETF,行业,751,1.307,4.64,233,019,148.50,178,285,500.00
SZ159227,航空航天ETF,行业,18312,1.476,8.13,3,771,048,929.72,2,554,911,199.00
SZ159267,航天ETF,行业,6194,1.259,7.79,1,928,166,212.63,1,531,506,126.00
SZ159920,恒生ETF,海外宽基,203409,1.5,-3.41,11,891,338,828.50,7,927,559,219.00
SH520500,恒生创新药ETF,海外概念,3786,1.396,-9,1,899,683,780.00,1,360,805,000.00
SZ159850,恒生国企ETF,海外概念,3418,0.83,-6.95,613,956,393.34,739,706,498.00
SH513950,恒生红利ETF,海外概念,9358,1.422,5.2,3,385,240,218.00,2,380,619,000.00
SZ159545,恒生红利低波ETF易方达,海外概念,17714,1.483,5.39,8,151,166,670.79,5,496,403,689.00
SH513330,恒生互联网ETF,海外行业,98843,0.437,-15.31,34,364,578,760.00,78,637,480,000.00
SH513130,恒生科技ETF,海外概念,88438,0.612,-14.76,47,993,252,364.00,78,420,347,000.00
SZ159615,恒生生物科技ETF南方,海外行业,3231,1.038,-4.95,576,146,984.12,555,054,898.00
SH513970,恒生消费ETF,海外行业,10487,0.939,2.85,3,088,409,499.00,3,289,041,000.00
SH513170,恒生央企ETF,海外概念,2937,1.554,2.04,373,850,442.00,240,573,000.00
SH513060,恒生医疗ETF博时,海外行业,56121,0.552,-5.32,5,772,757,101.60,10,457,893,300.00
SZ159892,恒生医药ETF,海外行业,29146,0.723,-4.62,5,878,905,333.91,8,131,266,022.00
SH510900,恒生中国企业ETF易方达,海外行业,91931,1.059,-7.02,5,776,868,192.10,5,455,021,900.00
SH510880,红利ETF华泰柏瑞,概念,679294,3.304,8.63,16,925,320,512.80,5,122,675,700.00
SH515100,红利低波100ETF,概念,12310,1.459,2.03,5,622,900,648.50,3,853,941,500.00
SH515450,红利低波50ETF,概念,17360,1.42,1.36,15,350,675,700.00,10,810,335,000.00
SH512890,红利低波ETF华泰柏瑞,概念,50478,1.18,0.34,29,628,750,744.00,25,109,110,800.00
SH517050,互联网ETF华泰柏瑞,行业,4325,0.78,-8.34,288,291,900.00,369,605,000.00
SH510300,沪深300ETF华泰柏瑞,宽基,563453,4.61,-0.49,205,485,622,297.00,44,573,887,700.00
SZ159870,化工ETF,行业,37219,0.932,13.11,36,072,693,741.71,38,704,607,019.00
SH518880,黄金ETF,货物,182109,10.98,18.05,126,371,463,984.00,11,509,240,800.00
SH517520,黄金股ETF,行业,17359,2.621,28.48,16,362,651,384.00,6,242,904,000.00
SZ159663,机床ETF,行业,2977,1.915,21.43,221,216,175.28,115,517,585.00
SH562500,机器人ETF,行业,57732,1.003,-1.57,23,856,542,861.90,23,785,187,300.00
SH516970,基建ETF广发,行业,17584,1.231,3.79,1,932,106,817.50,1,569,542,500.00
SZ159546,集成电路ETF,行业,724,1.924,4.74,260,335,043.18,135,309,274.00
SZ159998,计算机ETF,行业,11204,1.031,3.2,2,609,105,669.97,2,530,655,354.00
SZ159996,家电ETF,行业,18727,1.5,-4.15,1,440,832,269.00,960,554,846.00
SH512040,价值100ETF,概念,29052,1.257,8.93,3,016,442,886.30,2,399,715,900.00
SZ159745,建材ETF,行业,11277,0.712,9.37,2,450,482,044.68,3,441,688,265.00
SZ159666,交通运输ETF,行业,703,1.048,2.54,129,776,884.44,123,832,905.00
SH513360,教育ETF博时,行业,11361,0.542,1.12,311,223,933.80,574,213,900.00
SH510230,金融ETF,行业,11448,1.304,-7.97,4,327,725,632.00,3,318,808,000.00
SZ159851,金融科技ETF,行业,15888,0.777,-8.37,9,288,960,523.00,11,954,904,148.00
SH512690,酒ETF,行业,102711,0.502,-6.34,17,689,451,000.40,35,237,950,200.00
SH512660,军工ETF,行业,125509,1.497,9.03,11,850,371,760.00,7,916,080,000.00
SH588190,科创100ETF,概念,30377,1.458,5.65,4,087,675,481.40,2,803,618,300.00
SH588230,科创200ETF,概念,2212,1.708,12.29,1,337,259,812.00,782,939,000.00
SH588000,科创50ETF,概念,190462,1.459,2.96,73,314,265,903.80,50,249,668,200.00
SH515000,科技ETF,行业,67943,1,0.4,3,066,579,300.00,3,066,579,300.00
SH561330,矿业ETF,行业,14406,2.381,23.82,3,739,827,414.10,1,570,696,100.00
SZ159840,锂电池ETF工银,行业,12446,0.852,-0.35,1,562,205,773.05,1,833,574,851.00
SZ159698,粮食ETF,行业,3599,1.2,15.27,542,933,253.60,452,444,378.00
SZ159766,旅游ETF,行业,36632,0.732,-9.52,7,018,153,184.92,9,587,640,963.00
SH562550,绿电ETF,行业,1619,1.193,9.65,465,173,724.90,389,919,300.00
SH515220,煤炭ETF,行业,66515,1.255,22.08,10,468,177,009.50,8,341,176,900.00
SH513850,美国50ETF易方达,海外宽基,15557,1.548,-7.53,1,739,785,744.80,1,123,892,600.00
SZ159941,纳指ETF,海外宽基,56670,1.311,-7.22,29,345,044,025.00,22,383,710,164.00
SZ159509,纳指科技ETF景顺,海外概念,35733,1.972,-13.89,12,947,292,440.70,6,565,564,118.00
SH513290,纳指生物科技ETF汇添富,海外行业,17210,1.48,-2.82,1,531,906,708.00,1,035,072,100.00
SZ159930,能源ETF,行业,13658,1.865,27.48,1,712,812,549.75,918,398,150.00
SZ159275,农牧渔ETF,行业,428,1.015,2.94,180,977,452.64,178,302,909.00
SZ159825,农业ETF,行业,34673,0.873,4.8,2,530,894,576.31,2,899,077,407.00
SH516110,汽车ETF,行业,12698,1.329,-7.19,519,138,099.90,390,623,100.00
SH562700,汽车零部件ETF,行业,429,1.437,-6.14,229,560,750.00,159,750,000.00
SH563760,全指自由现金流ETF,概念,71,1.357,11.41,1,033,916,212.40,761,913,200.00
SH512000,券商ETF,行业,118453,0.533,-7.94,37,703,799,268.20,70,738,835,400.00
SH513520,日经ETF,海外宽基,35583,1.915,6.74,1,948,296,488.00,1,017,387,200.00
SZ159852,软件ETF,行业,19502,0.854,-1.16,11,625,180,828.53,13,612,623,921.00
SH520830,沙特ETF,海外宽基,6905,0.904,0.33,1,266,159,576.00,1,400,619,000.00
SH510810,上海国企ETF汇添富,概念,2248,0.902,-3.32,5,331,535,917.40,5,910,793,700.00
SH510180,上证180ETF,宽基,10176,4.112,1.6,23,095,285,262.40,5,616,557,700.00
SH510050,上证50ETF,宽基,191227,3.051,-1.74,69,157,525,906.80,22,667,166,800.00
SZ159901,深证100ETF易方达,宽基,14766,3.385,-1.94,6,200,761,238.05,1,831,834,930.00
SZ159350,深证50ETF富国,宽基,320,1.421,-5.27,166,270,701.28,117,009,642.00
SZ159943,深证成指ETF大成,宽基,3443,1.535,4.07,219,857,930.27,143,229,922.00
SZ159837,生物科技ETF易方达,行业,6206,0.466,-5.67,1,333,763,222.04,2,862,152,837.00
SZ159859,生物医药ETF,行业,5757,0.364,-5.21,3,666,004,179.66,10,071,440,054.00
SH511260,十年国债ETF,债,28157,135.244,1.06,14,653,214,046.00,108,346,500.00
SZ159731,石化ETF,行业,4826,1.087,18.41,2,059,186,496.77,1,894,375,802.00
SH561360,石油ETF,行业,16440,1.744,41.56,12,433,234,112.00,7,129,148,000.00
SH515170,食品饮料ETF,行业,40918,0.516,-5.84,4,980,823,076.40,9,652,757,900.00
SH560800,数字经济ETF,概念,13494,0.992,0.81,470,159,491.20,473,951,100.00
SH588380,双创50ETF,概念,16471,0.921,-2.13,2,889,886,170.00,3,137,770,000.00
SZ159790,碳中和ETF,概念,23930,0.791,3.26,1,582,418,031.64,2,000,528,485.00
SH515880,通信ETF,行业,71369,1.066,3.87,14,657,912,542.00,13,750,387,000.00
SZ159583,通信设备ETF,行业,4244,1.356,3.91,1,438,163,975.11,1,060,592,902.00
SZ159378,通用航空ETF,行业,5891,1.443,4.41,788,269,156.90,546,271,072.00
SZ159206,卫星ETF,行业,21336,1.779,5.2,20,540,251,036.34,11,545,953,365.00
SH516910,物流ETF富国,行业,6267,1.221,10.3,160,124,137.80,131,141,800.00
SH516780,稀土ETF,行业,29137,2.1,19.12,3,736,004,580.00,1,779,049,800.00
SZ159608,稀有金属ETF,行业,2976,1.303,22.12,5,905,209,116.00,4,532,010,066.00
SZ159399,现金流ETF,概念,38846,1.191,4.26,4,991,713,048.49,4,191,194,835.00
SZ159928,消费ETF,行业,112423,0.759,-4.29,21,284,355,441.36,28,042,629,040.00
SZ159732,消费电子ETF,行业,11063,1.133,2.16,2,212,123,475.23,1,952,447,904.00
SZ159995,芯片ETF,行业,139614,1.816,4.85,25,845,608,018.90,14,232,163,006.00
SZ159761,新材料ETF国泰,概念,456,0.774,6.46,160,786,206.56,207,734,117.00
SZ159822,新经济ETF银华,概念,5155,0.648,-8.86,254,491,836.12,392,734,315.00
SH516160,新能源ETF,行业,66618,3.024,5.77,6,635,085,408.00,2,194,142,000.00
SH515030,新能源车ETF,行业,79962,1.807,-3.37,3,739,376,888.00,2,069,384,000.00
SH562570,信创ETF,概念,4812,1.4,1.45,502,993,400.00,359,281,000.00
SZ159939,信息技术ETF,行业,15499,0.906,2.49,1,110,444,432.04,1,225,656,106.00
SZ159687,亚太精选ETF南方,海外宽基,9145,1.613,4.74,2,003,876,125.35,1,242,328,658.00
SZ159959,央企ETF银华,概念,2506,1.707,7.97,3,161,179,268.46,1,851,891,780.00
SH515600,央企创新ETF,概念,941,1.808,11.88,1,972,161,699.20,1,090,797,400.00
SH512950,央企改革ETF华夏,概念,4356,1.585,8.12,6,413,783,335.00,4,046,551,000.00
SH561580,央企红利ETF华泰柏瑞,概念,3660,1.315,7.32,1,247,107,470.50,948,370,700.00
SH512960,央企结构调整ETF博时,概念,774,1.535,8.4,6,135,789,955.50,3,997,257,300.00
SH560170,央企科技ETF南方,概念,2551,1.131,9.06,1,144,566,910.50,1,011,995,500.00
SH516560,养老ETF,行业,3967,0.829,-3.94,150,677,382.00,181,758,000.00
SZ159865,养殖ETF,行业,25546,0.633,0.32,4,748,421,432.15,7,501,455,659.00
SH512170,医疗ETF,行业,123046,0.334,-1.76,27,022,878,047.00,80,906,820,500.00
SZ159883,医疗器械ETF,行业,43129,0.486,-0.21,6,168,330,391.70,12,692,037,843.00
SZ159929,医药ETF,行业,32083,1.285,-3.67,2,374,942,400.86,1,848,204,203.00
SZ159643,疫苗ETF,行业,2268,0.551,-6.13,178,739,229.97,324,390,617.00
SH511880,银华日利ETF,债,116738,100.263,0.19,73,079,916,018.60,728,882,200.00
SH512800,银行ETF,行业,88069,0.775,-5.83,11,832,141,922.50,15,267,279,900.00
SH516620,影视ETF,行业,8216,1.064,0.57,340,232,620.00,319,767,500.00
SZ159309,油气ETF汇添富,行业,3704,1.752,51.95,2,201,163,281.47,1,256,371,736.00
SZ159869,游戏ETF,行业,29412,1.388,-3.61,11,066,637,992.28,7,973,082,127.00
SH512400,有色金属ETF,行业,89103,2.345,21.69,40,978,966,455.00,17,475,039,000.00
SH516510,云计算ETF易方达,行业,10420,1.74,2.9,2,658,528,600.00,1,527,890,000.00
