标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
SH518880,黄金ETF,2014-03-26,2.6140,2014-04-24,2.5730,-1.27%,0.9873
SH513500,标普500ETF博时,2014-04-24,0.5220,2014-05-26,0.5280,0.77%,0.9949
SZ159920,恒生ETF,2014-05-26,1.0014,2014-06-24,1.0080,0.66%,1.0015
SH518880,黄金ETF,2014-06-24,2.6370,2014-07-22,2.6080,-0.64%,0.9951
SZ159928,消费ETF,2014-07-22,0.9600,2014-08-19,1.0240,7.58%,1.0705
SH510500,中证500ETF,2014-08-19,3.7834,2014-09-17,3.9390,3.49%,1.1078
SH518880,黄金ETF,2014-09-17,2.4590,2014-10-22,2.4640,0.12%,1.1092
SH511010,国债ETF,2014-10-22,99.7771,2014-11-19,101.1231,1.08%,1.1212
SH518880,黄金ETF,2014-11-19,2.3500,2014-12-17,2.4010,2.74%,1.1518
SH513500,标普500ETF博时,2014-12-17,0.5415,2015-01-16,0.5560,2.01%,1.175
SZ159915,创业板ETF易方达,2015-01-16,1.5920,2015-02-13,1.7610,12.13%,1.3175
SH513500,标普500ETF博时,2015-02-13,0.5785,2015-03-20,0.5825,2.63%,1.3521
SZ159939,信息技术ETF,2015-03-20,1.2822,2015-04-20,1.3902,13.25%,1.5312
SH510050,上证50ETF,2015-04-20,2.5918,2015-05-19,2.5609,-7.50%,1.4163
SZ159939,信息技术ETF,2015-05-19,1.8591,2015-06-16,2.0072,15.19%,1.6315
SZ159920,恒生ETF,2015-06-16,1.1792,2015-07-15,1.0965,-8.95%,1.4855
SZ159943,深证成指ETF大成,2015-07-15,0.9732,2015-08-12,1.1221,5.51%,1.5674
SH510170,大宗商品ETF,2015-08-12,0.6045,2015-09-11,0.4428,-23.95%,1.192
空仓,-,2015-09-11,-,2015-10-16,-,0.00%,1.192
SZ159915,创业板ETF易方达,2015-10-16,2.3290,2015-11-13,2.5800,15.23%,1.3736
SZ159939,信息技术ETF,2015-11-13,1.3895,2015-12-11,1.3886,-1.87%,1.3479
SH511010,国债ETF,2015-12-11,107.1445,2016-01-11,108.2686,1.00%,1.3614
SH518880,黄金ETF,2016-01-11,2.3470,2016-02-15,2.5470,4.83%,1.4272
SZ159915,创业板ETF易方达,2016-02-15,2.0170,2016-03-14,1.9250,-8.25%,1.3094
空仓,-,2016-03-14,-,2016-04-12,-,0.00%,1.3094
SZ159930,能源ETF,2016-04-12,0.7990,2016-05-11,0.7460,-3.77%,1.2601
SH511010,国债ETF,2016-05-11,109.3985,2016-06-08,109.2508,-0.17%,1.258
SZ159902,中小100ETF华夏,2016-06-08,3.2340,2016-07-08,3.3300,2.78%,1.2929
SH510170,大宗商品ETF,2016-07-08,0.4265,2016-08-05,0.4223,-2.83%,1.2564
SH518880,黄金ETF,2016-08-05,2.9180,2016-09-02,2.8210,-2.29%,1.2276
SZ159920,恒生ETF,2016-09-02,1.1706,2016-10-11,1.1973,4.16%,1.2787
SH511010,国债ETF,2016-10-11,111.5166,2016-11-08,111.8023,0.28%,1.2823
SH512880,证券ETF,2016-11-08,1.0910,2016-12-06,1.0820,-0.55%,1.2752
SH511010,国债ETF,2016-12-06,109.8852,2017-01-04,108.9473,-0.85%,1.2644
SH518880,黄金ETF,2017-01-04,2.6380,2017-02-08,2.7220,3.66%,1.3106
SH512660,军工ETF,2017-02-08,1.0430,2017-03-08,1.0570,3.03%,1.3503
SH512660,军工ETF,2017-03-08,1.0570,2017-04-07,1.0700,0.28%,1.3542
SH510900,恒生中国企业ETF易方达,2017-04-07,1.0305,2017-05-08,1.0049,-3.80%,1.3027
SH511010,国债ETF,2017-05-08,107.5789,2017-06-07,108.0183,0.23%,1.3057
SH511010,国债ETF,2017-06-07,108.0183,2017-07-05,108.1730,0.14%,1.3076
SH510410,资源ETF博时,2017-07-05,0.6910,2017-08-02,0.8090,17.47%,1.5361
SH513050,中概互联网ETF易方达,2017-08-02,1.4480,2017-08-30,1.3980,-5.14%,1.4572
SH512070,证券保险ETF易方达,2017-08-30,2.0550,2017-09-27,1.9980,-3.05%,1.4127
SZ159928,消费ETF,2017-09-27,2.0010,2017-11-01,2.1990,10.14%,1.556
SH512550,富时A50,2017-11-01,1.0850,2017-11-29,1.1180,3.14%,1.6049
SH510810,上海国企ETF汇添富,2017-11-29,0.9093,2017-12-27,0.8755,-2.99%,1.5569
SH511010,国债ETF,2017-12-27,107.9779,2018-01-25,108.2764,0.20%,1.56
SH512880,证券ETF,2018-01-25,1.0770,2018-03-01,0.9090,-17.56%,1.2861
SZ159939,信息技术ETF,2018-03-01,0.5480,2018-03-29,0.5525,4.04%,1.338
SH510410,资源ETF博时,2018-03-29,0.7600,2018-05-02,0.7280,-3.44%,1.292
SZ159929,医药ETF,2018-05-02,1.7020,2018-05-30,1.7760,7.40%,1.3875
SH518880,黄金ETF,2018-05-30,2.6830,2018-06-28,2.6550,-0.49%,1.3808
SH511260,十年国债ETF,2018-06-28,100.2568,2018-07-26,100.9347,0.88%,1.393
SH510900,恒生中国企业ETF易方达,2018-07-26,1.1770,2018-08-23,1.1720,-1.76%,1.3685
SH511010,国债ETF,2018-08-23,111.1758,2018-09-20,111.4447,0.31%,1.3727
SZ159930,能源ETF,2018-09-20,0.7760,2018-10-26,0.7620,-3.49%,1.3249
SH512880,证券ETF,2018-10-26,0.7300,2018-11-23,0.7640,5.20%,1.3937
