标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
SH510500,中证500ETF,2014-03-19,3.3254,2014-03-26,3.3434,-0.18%,0.9982
SH510900,恒生中国企业ETF易方达,2014-03-26,0.8299,2014-04-02,0.8437,3.59%,1.034
SZ159920,恒生ETF,2014-04-02,0.9709,2014-04-10,0.9966,1.38%,1.0483
SH510230,金融ETF,2014-04-10,0.4947,2014-04-17,0.4755,-0.16%,1.0465
SH513500,标普500ETF博时,2014-04-17,0.5165,2014-04-24,0.5220,1.56%,1.0629
SH513500,标普500ETF博时,2014-04-24,0.5220,2014-05-05,0.5205,-0.19%,1.0608
SH511010,国债ETF,2014-05-05,96.3940,2014-05-12,96.7493,0.60%,1.0672
SZ159930,能源ETF,2014-05-12,0.8030,2014-05-19,0.7720,2.09%,1.0895
SZ159920,恒生ETF,2014-05-19,0.9871,2014-05-26,1.0014,1.93%,1.1106
SZ159915,创业板ETF易方达,2014-05-26,1.2890,2014-06-03,1.2870,1.65%,1.1289
SH510900,恒生中国企业ETF易方达,2014-06-03,0.8766,2014-06-10,0.8904,1.37%,1.1444
SZ159929,医药ETF,2014-06-10,0.9600,2014-06-17,0.9650,1.99%,1.1672
SH510050,上证50ETF,2014-06-17,1.2242,2014-06-24,1.2136,-2.37%,1.1395
SH518880,黄金ETF,2014-06-24,2.6370,2014-07-01,2.6380,-0.30%,1.1361
SZ159915,创业板ETF易方达,2014-07-01,1.3810,2014-07-08,1.3810,-0.58%,1.1294
SH510500,中证500ETF,2014-07-08,3.3973,2014-07-15,3.4422,1.86%,1.1505
SZ159928,消费ETF,2014-07-15,0.9420,2014-07-22,0.9600,2.59%,1.1803
SZ159928,消费ETF,2014-07-22,0.9600,2014-07-29,0.9810,3.89%,1.2263
SH510230,金融ETF,2014-07-29,0.5263,2014-08-05,0.5307,2.32%,1.2547
SZ159928,消费ETF,2014-08-05,1.0200,2014-08-12,1.0190,-0.20%,1.2523
SZ159915,创业板ETF易方达,2014-08-12,1.3640,2014-08-19,1.4040,2.20%,1.2798
SZ159915,创业板ETF易方达,2014-08-19,1.4040,2014-08-26,1.3770,0.86%,1.2908
SH510900,恒生中国企业ETF易方达,2014-08-26,0.9618,2014-09-02,0.9481,-1.43%,1.2723
SH510500,中证500ETF,2014-09-02,3.8492,2014-09-10,3.9600,4.34%,1.3276
SH510500,中证500ETF,2014-09-10,3.9600,2014-09-17,3.9390,-1.21%,1.3115
SH511010,国债ETF,2014-09-17,97.6072,2014-09-24,98.0845,0.97%,1.3243
空仓,-,2014-09-24,-,2014-10-08,-,0.00%,1.3243
SZ159929,医药ETF,2014-10-08,1.1490,2014-10-15,1.1900,3.34%,1.3685
SH511010,国债ETF,2014-10-15,99.7829,2014-10-22,99.7771,0.86%,1.3803
SH513500,标普500ETF博时,2014-10-22,0.5390,2014-10-29,0.5465,2.93%,1.4208
SH510500,中证500ETF,2014-10-29,4.2024,2014-11-05,4.1994,1.59%,1.4434
SH513500,标普500ETF博时,2014-11-05,0.5565,2014-11-12,0.5630,1.44%,1.4641
SH510230,金融ETF,2014-11-12,0.5761,2014-11-19,0.5505,-2.99%,1.4204
SZ159915,创业板ETF易方达,2014-11-19,1.4640,2014-11-26,1.5100,3.82%,1.4746
SH510230,金融ETF,2014-11-26,0.6115,2014-12-03,0.7011,19.54%,1.7627
SH510230,金融ETF,2014-12-03,0.7011,2014-12-10,0.7832,8.24%,1.908
SZ159929,医药ETF,2014-12-10,1.1930,2014-12-17,1.1830,2.72%,1.9598
SH510230,金融ETF,2014-12-17,0.8595,2014-12-24,0.7999,2.25%,2.0039
SH513500,标普500ETF博时,2014-12-24,0.5750,2014-12-31,0.5740,0.26%,2.0091
SH510230,金融ETF,2014-12-31,0.9356,2015-01-09,0.9074,-2.82%,1.9525
SH511010,国债ETF,2015-01-09,101.2344,2015-01-16,102.7004,1.10%,1.974
SH510230,金融ETF,2015-01-16,0.9367,2015-01-23,0.8963,-5.51%,1.8653
SH510300,沪深300ETF华泰柏瑞,2015-01-23,2.9431,2015-01-30,2.8282,-2.23%,1.8237
SH511010,国债ETF,2015-01-30,102.7941,2015-02-06,103.9059,0.33%,1.8296
SH513500,标普500ETF博时,2015-02-06,0.5680,2015-02-13,0.5785,1.33%,1.8539
SZ159939,信息技术ETF,2015-02-13,1.0574,2015-02-27,1.1023,4.09%,1.9297
SH510880,红利ETF华泰柏瑞,2015-02-27,1.6044,2015-03-06,1.5807,-1.40%,1.9028
SH511010,国债ETF,2015-03-06,103.6814,2015-03-13,103.6765,0.04%,1.9036
SH510230,金融ETF,2015-03-13,0.8611,2015-03-20,0.9297,4.95%,1.9979
SH510880,红利ETF华泰柏瑞,2015-03-20,1.8063,2015-03-27,1.8499,2.98%,2.0575
SZ159928,消费ETF,2015-03-27,1.3880,2015-04-03,1.4340,2.38%,2.1066
SZ159915,创业板ETF易方达,2015-04-03,2.3910,2015-04-13,2.4510,2.32%,2.1555
SH510050,上证50ETF,2015-04-13,2.4983,2015-04-20,2.5918,8.48%,2.3383
SZ159930,能源ETF,2015-04-20,1.3280,2015-04-27,1.5430,5.25%,2.4611
SZ159930,能源ETF,2015-04-27,1.5430,2015-05-05,1.3870,0.93%,2.4839
SZ159920,恒生ETF,2015-05-05,1.2134,2015-05-12,1.2163,-1.45%,2.4477
SZ159939,信息技术ETF,2015-05-12,1.7708,2015-05-19,1.8591,6.16%,2.5984
SZ159915,创业板ETF易方达,2015-05-19,3.1850,2015-05-26,3.4630,5.38%,2.7383
SZ159930,能源ETF,2015-05-26,1.4760,2015-06-02,1.4600,-3.60%,2.6398
SH518880,黄金ETF,2015-06-02,2.3790,2015-06-09,2.3660,-0.67%,2.6221
SZ159930,能源ETF,2015-06-09,1.5860,2015-06-16,1.5070,0.90%,2.6456
SH511010,国债ETF,2015-06-16,103.6560,2015-06-24,104.1050,0.18%,2.6505
SH513500,标普500ETF博时,2015-06-24,0.5850,2015-07-01,0.5720,-2.14%,2.5936
SH518880,黄金ETF,2015-07-01,2.3490,2015-07-08,2.2360,-1.41%,2.5571
SH511010,国债ETF,2015-07-08,105.2392,2015-07-15,104.7658,-0.20%,2.5519
SZ159939,信息技术ETF,2015-07-15,1.3200,2015-07-22,1.4802,5.82%,2.7006
SZ159939,信息技术ETF,2015-07-22,1.4802,2015-07-29,1.3854,-9.33%,2.4485
SZ159941,纳指ETF,2015-07-29,0.2470,2015-08-05,0.2465,1.02%,2.4735
SH513500,标普500ETF博时,2015-08-05,0.5855,2015-08-12,0.6000,2.48%,2.5348
SH510170,大宗商品ETF,2015-08-12,0.6045,2015-08-19,0.5612,-3.91%,2.4358
SH513500,标普500ETF博时,2015-08-19,0.6130,2015-08-26,0.5565,-9.83%,2.1964
SH511010,国债ETF,2015-08-26,105.5145,2015-09-02,106.5052,1.05%,2.2194
SH510050,上证50ETF,2015-09-02,1.8676,2015-09-11,1.8317,-0.99%,2.1974
SZ159939,信息技术ETF,2015-09-11,1.0734,2015-09-18,1.0195,-5.42%,2.0784
SH510900,恒生中国企业ETF易方达,2015-09-18,0.9270,2015-09-25,0.8831,-2.00%,2.0369
SH511010,国债ETF,2015-09-25,105.6882,2015-10-09,106.2588,0.24%,2.0419
SH510900,恒生中国企业ETF易方达,2015-10-09,0.9499,2015-10-16,0.9664,3.35%,2.1102
SZ159939,信息技术ETF,2015-10-16,1.2398,2015-10-23,1.2695,1.71%,2.1462
空仓,-,2015-10-23,-,2015-10-30,-,0.00%,2.1462
SZ159941,纳指ETF,2015-10-30,0.2490,2015-11-06,0.2500,-0.30%,2.1398
SH510230,金融ETF,2015-11-06,0.8595,2015-11-13,0.8495,2.32%,2.1894
SH511010,国债ETF,2015-11-13,106.3997,2015-11-20,106.4194,-0.00%,2.1894
SH513500,标普500ETF博时,2015-11-20,0.6115,2015-11-27,0.6120,0.49%,2.2002
SH511010,国债ETF,2015-11-27,106.8332,2015-12-04,107.0036,0.13%,2.203
SZ159901,深证100ETF易方达,2015-12-04,2.1848,2015-12-11,2.1638,-1.66%,2.1664
SH511010,国债ETF,2015-12-11,107.1445,2015-12-18,107.4804,0.06%,2.1676
SZ159915,创业板ETF易方达,2015-12-18,2.6680,2015-12-25,2.6200,-1.87%,2.1271
SH513500,标普500ETF博时,2015-12-25,0.6135,2016-01-04,0.6135,0.82%,2.1445
SH511010,国债ETF,2016-01-04,107.8794,2016-01-11,108.2686,0.00%,2.1446
SH518880,黄金ETF,2016-01-11,2.3470,2016-01-18,2.3130,-1.45%,2.1134
SH513500,标普500ETF博时,2016-01-18,0.5815,2016-01-25,0.5810,-0.17%,2.1098
SH510180,上证180ETF,2016-01-25,2.1955,2016-02-01,2.0324,-5.35%,1.9969
SZ159920,恒生ETF,2016-02-01,0.9443,2016-02-15,0.9034,-1.21%,1.9727
SH518880,黄金ETF,2016-02-15,2.5470,2016-02-22,2.5550,5.02%,2.0717
SH510410,资源ETF博时,2016-02-22,0.6090,2016-02-29,0.5850,-0.51%,2.0611
SH510900,恒生中国企业ETF易方达,2016-02-29,0.7438,2016-03-07,0.8089,6.22%,2.1893
SH510050,上证50ETF,2016-03-07,1.7632,2016-03-14,1.7340,-2.64%,2.1315
SZ159920,恒生ETF,2016-03-14,0.9776,2016-03-21,0.9890,2.07%,2.1757
SZ159915,创业板ETF易方达,2016-03-21,2.1160,2016-03-28,2.0730,1.11%,2.1998
SZ159928,消费ETF,2016-03-28,1.2970,2016-04-05,1.2990,1.33%,2.2291
SZ159939,信息技术ETF,2016-04-05,1.1775,2016-04-12,1.1604,2.49%,2.2845
SH518880,黄金ETF,2016-04-12,2.6070,2016-04-19,2.5880,-1.12%,2.259
SH513500,标普500ETF博时,2016-04-19,0.6195,2016-04-26,0.6240,0.81%,2.2773
