标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
SH511090,30年国债ETF,2024-09-24,115.0030,2024-10-08,110.6580,-4.69%,17.1694
SH511880,银华日利ETF,2024-10-08,98.5930,2024-10-15,98.6720,0.20%,17.2032
SH511360,短融ETF海富通,2024-10-15,110.5660,2024-10-22,110.6170,0.07%,17.2153
SZ159851,金融科技ETF,2024-10-22,0.6900,2024-10-29,0.6860,-3.90%,16.544
SZ159851,金融科技ETF,2024-10-29,0.6860,2024-11-05,0.7690,1.30%,16.7598
SH518880,黄金ETF,2024-11-05,6.0060,2024-11-12,5.8070,-1.68%,16.4779
SH511360,短融ETF海富通,2024-11-12,110.7620,2024-11-19,110.7940,0.04%,16.4851
SH510810,上海国企ETF汇添富,2024-11-19,0.8540,2024-11-26,0.8330,-2.33%,16.1013
SH511010,国债ETF,2024-11-26,137.3190,2024-12-03,137.7130,0.29%,16.1475
SH513730,东南亚科技ETF,2024-12-03,1.4080,2024-12-10,1.4150,1.74%,16.4277
SH513730,东南亚科技ETF,2024-12-10,1.4150,2024-12-17,1.3990,0.43%,16.4977
SH513500,标普500ETF博时,2024-12-17,2.2540,2024-12-24,2.1860,-3.52%,15.9173
SZ159941,纳指ETF,2024-12-24,1.2500,2024-12-31,1.2310,-0.96%,15.7646
SZ159941,纳指ETF,2024-12-31,1.2310,2025-01-08,1.2570,2.02%,16.0827
SH511090,30年国债ETF,2025-01-08,122.7790,2025-01-15,122.6690,-1.24%,15.8827
SH511090,30年国债ETF,2025-01-15,122.6690,2025-01-22,122.2650,0.58%,15.9745
SH513310,中韩半导体ETF,2025-01-22,1.5640,2025-02-06,1.5220,-3.50%,15.4147
SZ159561,德国ETF嘉实,2025-02-06,1.4280,2025-02-13,1.2520,-17.90%,12.6555
SH517520,黄金股ETF,2025-02-13,1.2120,2025-02-20,1.1970,-2.47%,12.3433
SZ159869,游戏ETF,2025-02-20,1.2590,2025-02-27,1.2420,-3.36%,11.9283
SH562570,信创ETF,2025-02-27,1.5050,2025-03-06,1.5730,-4.04%,11.4462
SH513050,中概互联网ETF易方达,2025-03-06,1.5740,2025-03-13,1.4760,0.67%,11.5234
SH520500,恒生创新药ETF,2025-03-13,1.1680,2025-03-20,1.2840,8.02%,12.4476
SH560280,工程机械ETF,2025-03-20,1.3990,2025-03-27,1.3570,-1.72%,12.2336
SZ159545,恒生红利低波ETF易方达,2025-03-27,1.2280,2025-04-03,1.2140,0.49%,12.2939
SH518880,黄金ETF,2025-04-03,7.0940,2025-04-11,7.2730,1.92%,12.53
SH518880,黄金ETF,2025-04-11,7.2730,2025-04-18,7.5830,5.60%,13.2314
SH518880,黄金ETF,2025-04-18,7.5830,2025-04-25,7.5300,0.22%,13.2611
SH518880,黄金ETF,2025-04-25,7.5300,2025-05-07,7.6710,0.40%,13.3136
SH518880,黄金ETF,2025-05-07,7.6710,2025-05-14,7.2770,-3.68%,12.8238
SH511360,短融ETF海富通,2025-05-14,111.7800,2025-05-21,111.8120,0.04%,12.8284
SH513730,东南亚科技ETF,2025-05-21,1.2150,2025-05-28,1.1980,-1.31%,12.6609
SZ159509,纳指科技ETF景顺,2025-05-28,1.5390,2025-06-05,1.5550,2.30%,12.952
SZ159509,纳指科技ETF景顺,2025-06-05,1.5550,2025-06-12,1.5580,0.45%,13.0103
SZ159992,创新药ETF,2025-06-12,0.8370,2025-06-19,0.7750,-3.19%,12.5947
SH520500,恒生创新药ETF,2025-06-19,1.4950,2025-06-26,1.5500,3.18%,12.9947
SZ159869,游戏ETF,2025-06-26,1.2220,2025-07-03,1.2650,3.69%,13.4736
