标的,名称,信号日(T),执行日(T+1),买入价(open×1.001),卖出日,卖出价(open×0.999),收益(卖/买-1),手续费,总净值,风控
SZ159915,创业板ETF易方达,2014-01-16,2014-01-17,1.3664,2014-03-07,1.4236,4.19%,0.0060%,1.0418,SL=20%
SH513500,标普500ETF博时,2014-03-06,2014-03-07,0.5205,2014-04-21,0.5165,-0.78%,0.0120%,1.0336,SL=20%
SH513500,标普500ETF博时,2014-04-18,2014-04-21,-,2014-06-04,-,0.00%,0.0000%,1.0336,SL=20%
SH510900,恒生中国企业ETF易方达,2014-06-04,2014-06-05,0.9059,2014-07-17,0.9441,4.21%,0.0120%,1.077,SL=20%
SH510880,红利ETF华泰柏瑞,2014-07-16,2014-07-17,0.3143,2014-08-28,0.4346,38.26%,0.0120%,1.4889,SL=20%
SH510900,恒生中国企业ETF易方达,2014-08-27,2014-08-28,1.0010,2014-10-17,0.9141,-8.68%,0.0120%,1.3594,SL=20%
SH511010,国债ETF,2014-10-16,2014-10-17,99.2952,2014-11-28,100.9849,1.70%,0.0120%,1.3824,SL=20%
SH510230,金融ETF,2014-11-27,2014-11-28,0.5275,2015-01-13,0.8631,63.62%,0.0120%,2.2616,SL=20%
SH513500,标普500ETF博时,2015-01-12,2015-01-13,0.5656,2015-03-03,0.5874,3.86%,0.0120%,2.3487,SL=20%
SH510880,红利ETF华泰柏瑞,2015-03-02,2015-03-03,1.2543,2015-04-15,2.0679,64.87%,0.0120%,3.8719,SL=20%
SZ159929,医药ETF,2015-04-14,2015-04-15,1.6867,2015-05-28,1.9980,18.46%,0.0120%,4.586,SL=20%
SZ159939,信息技术ETF,2015-05-27,2015-05-28,1.5916,2015-07-10,0.6184,-61.15%,0.0120%,1.7816,SL=20%
SH511010,国债ETF,2015-07-09,2015-07-10,104.7867,2015-08-21,104.3915,-0.38%,0.0120%,1.7746,SL=20%
SH518880,黄金ETF,2015-08-20,2015-08-21,2.3974,2015-10-13,2.3656,-1.32%,0.0120%,1.7509,SL=20%
SH510880,红利ETF华泰柏瑞,2015-10-12,2015-10-13,1.3894,2015-11-24,1.6184,16.48%,0.0120%,2.0393,SL=20%
SZ159941,纳指ETF,2015-11-23,2015-11-24,0.2492,2016-01-06,0.2458,-1.40%,0.0120%,2.0104,SL=20%
SH511880,银华日利ETF,2016-01-05,2016-01-06,77.7176,2016-02-24,77.9270,0.27%,0.0120%,2.0156,SL=20%
SH512070,证券保险ETF易方达,2016-02-23,2016-02-24,0.4975,2016-04-07,0.5425,9.04%,0.0120%,2.1975,SL=20%
SH510170,大宗商品ETF,2016-04-06,2016-04-07,0.4064,2016-05-20,0.3746,-7.82%,0.0120%,2.0254,SL=20%
SH512070,证券保险ETF易方达,2016-05-19,2016-05-20,0.5005,2016-07-05,0.5465,9.18%,0.0120%,2.2111,SL=20%
SH510410,资源ETF博时,2016-07-04,2016-07-05,0.6627,2016-08-16,0.6913,4.32%,0.0120%,2.3064,SL=20%
SH510230,金融ETF,2016-08-15,2016-08-16,0.7878,2016-09-29,0.7393,-6.16%,0.0120%,2.1641,SL=20%
SH511010,国债ETF,2016-09-28,2016-09-29,110.9578,2016-11-17,110.7082,-0.23%,0.0120%,2.1589,SL=20%
SZ159930,能源ETF,2016-11-16,2016-11-17,0.8368,2016-12-29,0.8082,-3.42%,0.0120%,2.0848,SL=20%
SZ159941,纳指ETF,2016-12-28,2016-12-29,0.3083,2017-02-17,0.3167,2.72%,0.0120%,2.1412,SL=20%
SH510810,上海国企ETF汇添富,2017-02-16,2017-02-17,0.9159,2017-03-31,0.8761,-4.34%,0.0120%,2.0479,SL=20%
SH513050,中概互联网ETF易方达,2017-03-30,2017-03-31,1.1001,2017-05-17,1.2627,14.78%,0.0120%,2.3504,SL=20%
SH510880,红利ETF华泰柏瑞,2017-05-16,2017-05-17,1.5956,2017-06-30,1.7662,10.69%,0.0120%,2.6014,SL=20%
SZ159928,消费ETF,2017-06-29,2017-06-30,0.4515,2017-08-11,0.4665,3.34%,0.0120%,2.688,SL=20%
SZ159928,消费ETF,2017-08-10,2017-08-11,-,2017-09-21,-,0.00%,0.0000%,2.688,SL=20%
SZ159920,恒生ETF,2017-09-21,2017-09-22,1.4214,2017-11-10,1.4875,4.65%,0.0120%,2.8126,SL=20%
SH512880,证券ETF,2017-11-09,2017-11-10,1.0661,2017-12-22,0.9720,-8.82%,0.0120%,2.5642,SL=20%
SH510050,上证50ETF,2017-12-21,2017-12-22,2.4905,2018-02-05,2.7043,8.58%,0.0120%,2.784,SL=20%
SH510050,上证50ETF,2018-02-02,2018-02-05,-,2018-03-23,-,0.00%,0.0000%,2.784,SL=20%
SH518880,黄金ETF,2018-03-23,2018-03-26,2.7457,2018-05-11,2.6913,-1.98%,0.0120%,2.7285,SL=20%
SZ159928,消费ETF,2018-05-10,2018-05-11,0.5826,2018-06-25,0.5914,1.51%,0.0120%,2.7695,SL=20%
SH511260,十年国债ETF,2018-06-22,2018-06-25,99.6916,2018-08-06,101.0089,1.32%,0.0120%,2.8058,SL=20%
SH511260,十年国债ETF,2018-08-03,2018-08-06,-,2018-09-14,-,0.00%,0.0000%,2.8058,SL=20%
SH512400,有色金属ETF,2018-09-14,2018-09-17,0.6116,2018-11-06,0.5814,-4.94%,0.0120%,2.6669,SL=20%
SH513050,中概互联网ETF易方达,2018-11-05,2018-11-06,1.1712,2018-12-18,1.1089,-5.32%,0.0120%,2.5248,SL=20%
